rank,username,attempts,pct_of_total
1,ADMINISTRATOR,626394,57.2676
2,ADMIN,97482,8.9122
3,USER,73206,6.6928
4,BACKUP,26720,2.4429
5,SYSTEM,26706,2.4416
6,SERVER,26637,2.4353
7,ADMINISTRADOR,25076,2.2926
8,Administrator,11430,1.0450
9,PC,5438,0.4972
10,ROOT,4584,0.4191
11,MANAGER,4538,0.4149
12,1,4530,0.4142
13,TEST,4300,0.3931
14,SCANNER,3476,0.3178
15,SCAN,3455,0.3159
16,SYSTEM32,3314,0.3030
17,DELL,3290,0.3008
18,SUPPORT,3247,0.2969
19,DEMO,3229,0.2952
20,OFFICE,3227,0.2950
21,TEMP,3226,0.2949
22,COMPUTER,3223,0.2947
23,MYPC,3223,0.2947
24,WORK,3215,0.2939
25,WINDOWS,3214,0.2938
26,HOME,3211,0.2936
27,STUDIO,3211,0.2936
28,WALLET,3211,0.2936
29,XEON,3211,0.2936
30,HP,1988,0.1818
31,USER1,1580,0.1445
32,АДМИНИСТРАТОР,1468,0.1342
33,ADMINISTRATEUR,1349,0.1233
34,ADMIN2,1334,0.1220
35,ADMIN1,1333,0.1219
36,SERVER1,1315,0.1202
37,USER2,1311,0.1199
38,OPERATOR,1309,0.1197
39,Admin,998,0.0912
40,administrator,448,0.0410
41,administrador,406,0.0371
42,administrateur,406,0.0371
43,server,406,0.0371
44,serveur,406,0.0371
45,servidor,406,0.0371
46,GUEST,253,0.0231
47,ISLA,108,0.0099
48,LILY,108,0.0099
49,REMOTE,93,0.0085
50,EMMA,90,0.0082
51,GRACE,90,0.0082
52,SOPHIE,90,0.0082
53,A,83,0.0076
54,JACOB,78,0.0071
55,LENOVO,78,0.0071
56,LOGAN,72,0.0066
57,MASON,72,0.0066
58,THEO,72,0.0066
59,ALFIE,66,0.0060
60,ARCHIE,66,0.0060
61,CLOUDBASE-ADMIN,66,0.0060
62,DEFAULTACCOUNT,66,0.0060
63,OLIVIA,66,0.0060
64,NEWUSER2,62,0.0057
65,ELLA,54,0.0049
66,NOAH,54,0.0049
67,GEORGE,49,0.0045
68,JACK,49,0.0045
69,AMELIA,48,0.0044
70,ARTHUR,48,0.0044
71,CHLOE,48,0.0044
72,ETHAN,48,0.0044
73,FREDDIE,48,0.0044
74,FREYA,48,0.0044
75,HARRY,48,0.0044
76,LUCAS,48,0.0044
77,SIENNA,48,0.0044
78,THOMAS,48,0.0044
79,WILLIAM,48,0.0044
80,ALICE,42,0.0038
81,CHARLOTTE,42,0.0038
82,DAISY,42,0.0038
83,FINN,42,0.0038
84,JUDE,42,0.0038
85,POPPY,42,0.0038
86,RUBY,42,0.0038
87,USUARIO,39,0.0036
88,ПОЛЬЗОВАТЕЛЬ,35,0.0032
89,ALBIE,30,0.0027
90,CHARLIE,30,0.0027
91,FINLEY,30,0.0027
92,H1DD3NADM1N,30,0.0027
93,HENRY,30,0.0027
94,JAMES,30,0.0027
95,OLIVER,30,0.0027
96,OSCAR,30,0.0027
97,POSTGRES,30,0.0027
98,TESTUSER,28,0.0026
99,RYAN,27,0.0025
100,SAMUEL,27,0.0025
101,MH,26,0.0024
102,BETH,25,0.0023
103,ADELAIDE,24,0.0022
104,ALEXANDER,24,0.0022
105,BENJAMIN,24,0.0022
106,CALEB,24,0.0022
107,CHARLES,24,0.0022
108,CLARA,24,0.0022
109,DANIEL,24,0.0022
110,DB2ADMIN,24,0.0022
111,EDEN,24,0.0022
112,ELARA,24,0.0022
113,ELIZA,24,0.0022
114,EMILY,24,0.0022
115,ESME,24,0.0022
116,EVIE,24,0.0022
117,FLORENCE,24,0.0022
118,GEORGIA,24,0.0022
119,HANNAH,24,0.0022
120,HARRIET,24,0.0022
121,HARRISON,24,0.0022
122,HEIDI,24,0.0022
123,ISABELLA,24,0.0022
124,JACKSON,24,0.0022
125,JESSICA,24,0.0022
126,JORDAN,24,0.0022
127,JOSEPH,24,0.0022
128,LAURA,24,0.0022
129,LIAM,24,0.0022
130,LUCY,24,0.0022
131,LUNA,24,0.0022
132,MABEL,24,0.0022
133,MATILDA,24,0.0022
134,MAYA,24,0.0022
135,MEGAN,24,0.0022
136,MILLE,24,0.0022
137,MOLLY,24,0.0022
138,OLIVE,24,0.0022
139,PHOEBE,24,0.0022
140,ROSIE,24,0.0022
141,SOPHIA,24,0.0022
142,SYSTEMAS,24,0.0022
143,WILLOW,24,0.0022
144,HOST3A0,21,0.0019
145,SYSTEME,20,0.0018
146,DBUSER,19,0.0017
147,INFORMIX,19,0.0017
148,ARLO,18,0.0016
149,AXEL,18,0.0016
150,OTTO,18,0.0016
151,RAFE,18,0.0016
152,ROSE,18,0.0016
153,ASPNET,17,0.0016
154,OLDADMINISTRATOR,17,0.0016
155,SERVICES,17,0.0016
156,IT,16,0.0015
