rank,username,attempts,pct_of_total
1,ADMINISTRATOR,626394,57.2676
2,ADMIN,97482,8.9122
3,USER,73206,6.6928
4,BACKUP,26720,2.4429
5,SYSTEM,26706,2.4416
6,SERVER,26637,2.4353
7,ADMINISTRADOR,25076,2.2926
8,Administrator,11430,1.0450
9,PC,5438,0.4972
10,ROOT,4584,0.4191
11,MANAGER,4538,0.4149
12,1,4530,0.4142
13,TEST,4300,0.3931
14,SCANNER,3476,0.3178
15,SCAN,3455,0.3159
16,SYSTEM32,3314,0.3030
17,DELL,3290,0.3008
18,DESKTOP,3261,0.2981
19,SUPPORT,3247,0.2969
20,DEMO,3229,0.2952
21,OFFICE,3227,0.2950
22,TEMP,3226,0.2949
23,COMPUTER,3223,0.2947
24,MYPC,3223,0.2947
25,NAS,3215,0.2939
26,WORK,3215,0.2939
27,WINDOWS,3214,0.2938
28,HOME,3211,0.2936
29,STUDIO,3211,0.2936
30,WALLET,3211,0.2936
31,XEON,3211,0.2936
32,HP,1988,0.1818
33,USER1,1580,0.1445
34,АДМИНИСТРАТОР,1468,0.1342
35,ADMINISTRATEUR,1349,0.1233
36,ADMIN2,1334,0.1220
37,ADMIN1,1333,0.1219
38,SERVER1,1315,0.1202
39,USER2,1311,0.1199
40,OPERATOR,1309,0.1197
41,Admin,998,0.0912
42,administrator,448,0.0410
43,administrador,406,0.0371
44,administrateur,406,0.0371
45,server,406,0.0371
46,serveur,406,0.0371
47,servidor,406,0.0371
48,GUEST,253,0.0231
49,MIA,136,0.0124
50,win-srv01,128,0.0117
51,workgroup,128,0.0117
52,ISLA,108,0.0099
53,LILY,108,0.0099
54,LEO,94,0.0086
55,REMOTE,93,0.0085
56,EMMA,90,0.0082
57,GRACE,90,0.0082
58,SOPHIE,90,0.0082
59,A,83,0.0076
60,JACOB,78,0.0071
61,LENOVO,78,0.0071
62,LOGAN,72,0.0066
63,MASON,72,0.0066
64,THEO,72,0.0066
65,EVA,70,0.0064
66,ALFIE,66,0.0060
67,ARCHIE,66,0.0060
68,CLOUDBASE-ADMIN,66,0.0060
69,DEFAULTACCOUNT,66,0.0060
70,OLIVIA,66,0.0060
71,NEWUSER2,62,0.0057
72,DE,54,0.0049
73,ELLA,54,0.0049
74,NOAH,54,0.0049
75,AVA,52,0.0048
76,OP,52,0.0048
77,D,49,0.0045
78,DES,49,0.0045
79,DT,49,0.0045
80,G,49,0.0045
81,GEORGE,49,0.0045
82,JACK,49,0.0045
83,KL,49,0.0045
84,TKL,49,0.0045
85,TOP,49,0.0045
86,AMELIA,48,0.0044
87,ARTHUR,48,0.0044
88,CHLOE,48,0.0044
89,ETHAN,48,0.0044
90,FREDDIE,48,0.0044
91,FREYA,48,0.0044
92,HARRY,48,0.0044
93,LUCAS,48,0.0044
94,SIENNA,48,0.0044
95,THOMAS,48,0.0044
96,WILLIAM,48,0.0044
97,IVY,46,0.0042
98,7DTKL,45,0.0041
99,DESKT,45,0.0041
100,G57,45,0.0041
101,G57D,45,0.0041
102,G57DT,45,0.0041
103,G57DTK,45,0.0041
104,KTOP,45,0.0041
105,SYS,45,0.0041
106,ALICE,42,0.0038
107,CHARLOTTE,42,0.0038
108,DAISY,42,0.0038
109,FINN,42,0.0038
110,JUDE,42,0.0038
111,POPPY,42,0.0038
112,RUBY,42,0.0038
113,57DTKL,40,0.0037
114,DTKL,40,0.0037
115,USUARIO,39,0.0036
116,ПОЛЬЗОВАТЕЛЬ,35,0.0032
117,ADM,31,0.0028
118,ALBIE,30,0.0027
119,CHARLIE,30,0.0027
120,FINLEY,30,0.0027
121,H1DD3NADM1N,30,0.0027
122,HENRY,30,0.0027
123,JAMES,30,0.0027
124,OLIVER,30,0.0027
125,OSCAR,30,0.0027
126,POSTGRES,30,0.0027
127,AMY,28,0.0026
128,TESTUSER,28,0.0026
129,RYAN,27,0.0025
130,SAMUEL,27,0.0025
131,MH,26,0.0024
132,BETH,25,0.0023
133,ADELAIDE,24,0.0022
134,ALEXANDER,24,0.0022
135,BENJAMIN,24,0.0022
136,CALEB,24,0.0022
137,CHARLES,24,0.0022
138,CLARA,24,0.0022
139,DANIEL,24,0.0022
140,DB2ADMIN,24,0.0022
141,EDEN,24,0.0022
142,ELARA,24,0.0022
143,ELIZA,24,0.0022
144,EMILY,24,0.0022
145,ESME,24,0.0022
146,EVIE,24,0.0022
147,FLORENCE,24,0.0022
148,GEORGIA,24,0.0022
149,HANNAH,24,0.0022
150,HARRIET,24,0.0022
151,HARRISON,24,0.0022
152,HEIDI,24,0.0022
153,ISABELLA,24,0.0022
154,JACKSON,24,0.0022
155,JESSICA,24,0.0022
156,JORDAN,24,0.0022
157,JOSEPH,24,0.0022
158,LAURA,24,0.0022
159,LIAM,24,0.0022
160,LUCY,24,0.0022
