username,attempts
"ADMINISTRATOR",48787
"ADMIN",6152
"USER",3419
"SERVER",602
"administrator",158
"TEST",120
"administrador",116
"administrateur",116
"server",116
"serveur",116
"servidor",116
"DELL",110
"ROOT",105
"SCANNER",102
"SUPPORT",101
"SYSTEM32",101
"BACKUP",99
"PC",99
"SCAN",99
"1",98
"COMPUTER",98
"DEMO",98
"MANAGER",98
"MYPC",98
"OFFICE",98
"SYSTEM",98
"TEMP",98
"HOME",97
"NAS",97
"STUDIO",97
"WALLET",97
"WINDOWS",97
"WORK",97
"XEON",97
"GUEST",63
"ADMINISTRADOR",39
"MIA",22
"АДМИНИСТРАТОР",22
"ISLA",18
"LILY",18
"DEFAULTACCOUNT",16
"EMMA",15
"GRACE",15
"LEO",15
"REMOTE",15
"SOPHIE",15
"A",13
"JACOB",13
"LENOVO",13
"LOGAN",12
"MASON",12
"SYS",12
"THEO",12
"ALFIE",11
"ARCHIE",11
"CLOUDBASE-ADMIN",11
"EVA",11
"OLIVIA",11
"ELLA",9
"NOAH",9
"AMELIA",8
"ARTHUR",8
"AVA",8
"CHLOE",8
"ETHAN",8
"FREDDIE",8
"FREYA",8
"GEORGE",8
"HARRY",8
"JACK",8
"LUCAS",8
"SIENNA",8
"THOMAS",8
"WILLIAM",8
"ADMIN2",7
"ADMINISTRATEUR",7
"ALICE",7
"CHARLOTTE",7
"DAISY",7
"FINN",7
"IVY",7
"JUDE",7
"POPPY",7
"RUBY",7
"MH",6
"NEWUSER2",6
"SYSTEMAS",6
"SYSTEME",6
"USER1",6
"ALBIE",5
"CHARLIE",5
"DB2ADMIN",5
"FINLEY",5
"HENRY",5
"JAMES",5
"OLIVER",5
"OSCAR",5
"Test",5
"USUARIO",5
"ПОЛЬЗОВАТЕЛЬ",5
"ADELAIDE",4
"ALEXANDER",4
"AMY",4
"ASPNET",4
"BENJAMIN",4
"BETH",4
"CALEB",4
"CHARLES",4
"CLARA",4
"DANIEL",4
"EDEN",4
"ELARA",4
"ELIZA",4
"EMILY",4
"ESME",4
"EVIE",4
"FLORENCE",4
"GEORGIA",4
"HANNAH",4
"HARRIET",4
"HARRISON",4
"HEIDI",4
"ISABELLA",4
"JACKSON",4
"JESSICA",4
"JORDAN",4
"JOSEPH",4
"LAURA",4
"LIAM",4
"LUCY",4
"LUNA",4
"MABEL",4
"MATILDA",4
